"Register address Field Type Accuracy Unit Min. Max. Read and write attributes Remarks Confidentiality level","Register address (Hex)","Field",,"Accuracy","Unit","Min","Max",,"Remarks",,"Mask claculation",
"Real time data(0x0400-0x07FF)",,,,,,,,,,,,
"system info(0x0400-0x047F)",,,,,,,,,,,,
,"0400","AddressMask_Realtime_SysInfo1","U64",,,,,"R","The validity of 64 addresses above the address range (including the address of this partition) corresponding to each bit of this partition.
0 means invalid; 1 means valid.","End user","0003FFC1","0581FFFF"
,"0401",,,,,,,,,"End user",,
,"0402",,,,,,,,,"End user",,
,"0403",,,,,,,,,"End user",,
,"0404","SysState","U16",,,,,"R","Operating status
0: waiting state
1: Detection status
2: Grid-connected status
3: Emergency power supply status
4: Recoverable fault state
5: Permanent fault status
6: Upgrade status
7: Self-charging status","End user",1,16
,"0405","Fault1","U16",,,,,"R","Fault information table 1","End user",1,32
,"0406","Fault2","U16",,,,,"R","Fault information table 2","End user",1,64
,"0407","Fault3","U16",,,,,"R","Fault information table 3","End user",1,128
,"0408","Fault4","U16",,,,,"R","Fault information table 4","End user",1,256
,"0409","Fault5","U16",,,,,"R","Fault information table 5","End user",1,512
,"040A","Fault6","U16",,,,,"R","Fault information table 6","End user",1,1024
,"040B","Fault7","U16",,,,,"R","Fault information table 7","End user",1,2048
,"040C","Fault8","U16",,,,,"R","Fault information table 8","End user",1,4096
,"040D","Fault9","U16",,,,,"R","Fault information table 9","End user",1,8192
,"040E","Fault10","U16",,,,,"R","Fault information table 10","End user",1,16384
,"040F","Fault11","U16",,,,,"R","Fault information table 11","End user",1,32768
,"0410","Fault12","U16",,,,,"R","Fault information table 12","End user",1,65536
,"0411","Fault13","U16",,,,,"R","Fault information table 13","End user",,0
,"0412","Fault14","U16",,,,,"R","Fault information table 14","End user",,0
,"0413","Fault15","U16",,,,,"R","Fault information table 15","End user",,0
,"0414","Fault16","U16",,,,,"R","Fault information table 16","End user",,0
,"0415","Fault17","U16",,,,,"R","Fault information table 17","End user",,0
,"0416","Fault18","U16",,,,,"R","Fault information table 18","End user",,0
,"0417","Countdown","U16",1,"seconds",,,"R","Power-on countdown","End user",1,8388608
,"0418","Temperature_Env1","I16",1,"°C",,,"R","Ambient temperature 1","End user",1,16777216
,"0419","Temperature_Env2","I16",1,"°C",,,"R","Ambient temperature 2","End user",,0
,"041A","Temperature_HeatSink1","I16",1,"°C",,,"R","Radiator temperature 1","End user",1,67108864
,"041B","Temperature_HeatSink2","I16",1,"°C",,,"R","Radiator temperature 2","End user",,0
,"041C","Temperature_HeatSink3","I16",1,"°C",,,"R","Radiator temperature 3","End user",,0
,"041D","Temperature_HeatSink4","I16",1,"°C",,,"R","Radiator temperature 4","End user",,0
,"041E","Temperature_HeatSink5","I16",1,"°C",,,"R","Radiator temperature 5","End user",,0
,"041F","Temperature_HeatSink6","I16",1,"°C",,,"R","Radiator temperature 6","End user",,0
,"0420","Temperature_Inv1","I16",1,"°C",,,"R","Module temperature 1","End user",1,4294967296
,"0421","Temperature_Inv2","I16",1,"°C",,,"R","Module temperature 2","End user",,0
,"0422","Temperature_Inv3","I16",1,"°C",,,"R","Module temperature 3","End user",,0
,"0423","Temp_Rsvd1","I16",1,"°C",,,"R","Reserve temperature 1","End user",,0
,"0424","Temp_Rsvd2","I16",1,"°C",,,"R","Reserve temperature 2","End user",,0
,"0425","Temp_Rsvd3","I16",1,"°C",,,"R","Reserve temperature 3","End user",,0
,"0426","GenerationTime_Today","U16",1,"Minute",,,"R","Day of power generation time","End user",1,274877906944
,"0427","GenerationTime_Total","U32",1,"Minute",,,"R","Total power generation time","End user",1,549755813888
,"0428",,,,,,,,,"End user",1,1099511627776
,"0429","ServiceTime_Total","U32",1,"Minute",,,"R","Total running time","End user",1,2199023255552
,"042A",,,,,,,,,"End user",1,4398046511104
,"042B","InsulationResistance","U16",1,"kΩ",,,"R","Insulation resistance","End user",1,8796093022208
,"042C","SysTime_Year","U16",,,,,"R","System time-year","End user",1,17592186044416
,"042D","SysTime_Month","U16",,,,,"R","System time-month","End user",1,35184372088832
,"042E","SysTime_Date","U16",,,,,"R","System Time-Daily Minutes","End user",1,70368744177664
,"042F","SysTime_Hour","U16",,,,,"R","System time-hour","End user",1,140737488355328
,"0430","SysTime_Minute","U16",,,,,"R","System time-minutes","End user",1,281474976710656
,"0431","SysTime_Second","U16",,,,,"R","System time-second","End user",1,562949953421312
,"0432","Fault19","U16",,,,,"R","Fault message table 19","End user",,
,"0433","Fault20","U16",,,,,"R","Fault information table 20","End user",,
,"0434","Fault21","U16",,,,,"R","Fault information table 21","End user",,
,"0435","Fault22","U16",,,,,"R","Fault information table 22","End user",,
,"0436","Fault23","U16",,,,,"R","Fault information table 23","End user",,
,"0437","Fault24","U16",,,,,"R","Fault message table 24","End user",,
,"0438","Fault25","U16",,,,,"R","Fault information table 25","End user",,
,"0439","Fault26","U16",,,,,"R","Fault message table 26","End user",,
,"043A","Fault27","U16",,,,,"R","Fault information table 27","End user",,
,"043B",,,,,,,,,,,
,"043C",,,,,,,,,,,
,"043D",,,,,,,,,,,
,"043E",,,,,,,,,,,
,"043F",,,,,,,,,,,
,"0440","AddressMask_Realtime_SysInfo2","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field plus 1 is located.
0 means invalid; 1 means valid","End user","00000000","1FFFEFEF"
,"0441",,,,,,,,,"End user",,
,"0442",,,,,,,,,"End user",,
,"0443",,,,,,,,,"End user",,
,"0444","Production_Code","U16",,,,,,"Reverse",,0,0
,"0445","Serial_Number0","ASCII",,,,,"R","The first and second digits of the serial number.
The upper 8 bits of the register store the first bit of the serial number;
The lower 8 bits of the register store the second bit of the serial number. ","End user",1,32
,"0446","Serial_Number1","ASCII",,,,,"R","The 3rd and 4th digits of the serial number.
The upper 8 bits of the register store the third bit of the serial number;
The lower 8 bits of the register store the 4th bit of the serial number.","End user",1,64
,"0447","Serial_Number2","ASCII",,,,,"R","The 5th and 6th digits of the serial number.
The upper 8 bits of the register store the 5th bit of the serial number;
The lower 8 bits of the register store the 6th bit of the serial number.","End user",1,128
,"0448","Serial_Number3","ASCII",,,,,"R","The 7th and 8th digits of the serial number.
The upper 8 bits of the register store the 7th bit of the serial number;
The lower 8 bits of the register store the 8th bit of the serial number.","End user",1,256
,"0449","Serial_Number4","ASCII",,,,,"R","The 9th and 10th digits of the serial number.
The upper 8 bits of the register store the 9th bit of the serial number;
The lower 8 bits of the register store the 10th bit of the serial number. ","End user",1,512
,"044A","Serial_Number5","ASCII",,,,,"R","The 11th and 12th digits of the serial number.
The upper 8 bits of the register store the 11th bit of the serial number;
The lower 8 bits of the register store the 12th bit of the serial number. ","End user",1,1024
,"044B","Serial_Number6","ASCII",,,,,"R","The 13th and 14th digits of the serial number.
The upper 8 bits of the register store the 13th bit of the serial number;
The lower 8 bits of the register store the 14th bit of the serial number. ","End user",1,2048
,"044C","Serial_Number7","ASCII",,,,,"R","Reverse",,,
,"044D","Hardware_Version0","ASCII",,,,,"R","The first and second digits of the hardware version number.
The upper 8 bits of the register store the first bit of the serial number;
The lower 8 bits of the register store the second bit of the serial number.","End user",1,8192
,"044E","Hardware_Version1","ASCII",,,,,"R","The third and fourth digits of the hardware version number.
The upper 8 bits of the register store the third bit of the serial number;
The lower 8 bits of the register store the 4th bit of the serial number. ","End user",1,16384
,"044F","Software_Version_Stage_COM","ASCII",,,,,"R","Communication chip software version number stage definition bit.
The lower 8 bits of the register store the ASCII code. The default value of the official version is'V'. ","End user",1,32768
,"0450","Software_Version_Major_COM","ASCII",,,,,"R","The main version number of the communication chip software.
The major version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits","End user",1,65536
,"0451","Software_Version_Custom_COM","ASCII",,,,,"R","Communication chip software non-standard customized version number.
The version number of the standard software is """"00"""". The non-standard customized version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.","End user",1,131072
,"0452","Software_Version_Minor_COM","ASCII",,,,,"R","Communication chip software sub-version number.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits","End user",1,262144
,"0453","Software_Version_Stage_Master","ASCII",,,,,"R","The main controller chip software version number stage definition bit.
The lower 8 bits of the register store the ASCII code. The default value of the official version is'V'.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits. ","End user",1,524288
,"0454","Software_Version_Major_Master","ASCII",,,,,"R","Main controller chip software main version number.
The major version numbers of all chips in the same system must be the same, otherwise it is regarded as a system failure.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits. ","End user",1,1048576
,"0455","Software_Version_Custom_Master","ASCII",,,,,"R","The non-standard customized version number of the main controller chip software.
The version number of the standard software is """"00"""". The non-standard customized version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits. ","End user",1,2097152
,"0456","Software_Version_Minor_Master","ASCII",,,,,"R","主控制器芯片软件子版本号。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","End user",1,4194304
,"0457","Software_Version_Stage_Slave","ASCII",,,,,"R","副控制器芯片软件版本号阶段定义位。
寄存器低8位存放ASCII码。正式版本的默认值为'V'。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","End user",1,8388608
,"0458","Software_Version_Major_Slave","ASCII",,,,,"R","副控制器芯片软件主版本号。
同一个系统中所有芯片主版本号必须一致，否则视为系统故障。
寄存器高8位存放高位数字；
寄存器低8位存放低位数字。","End user",1,16777216
,"0459","Software_Version_Custom_Slave","ASCII",,,,,"R","Sub-controller chip software non-standard customized version number.
The version number of the standard software is """"00"""". The non-standard customized version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits. ","End user",1,33554432
,"045A","Software_Version_Minor_Slave","ASCII",,,,,"R","Sub-controller chip software subversion number.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.","End user",1,67108864
,"045B","Safety_Version_Major","U16",,,,,"R","Safety code main version number","End user",1,134217728
,"045C","Safety_version_Minor","U16",,,,,"R","Safety code vice version number","End user",1,268435456
,"045D","Boot_Version_COM","U16",,,,,"R",,"End user",,0
,"045E","Boot_Version_Master","U16",,,,,"R",,"End user",,0
,"045F","Boot_Version_Slave","U16",,,,,"R",,"End user",,0
,"0460","Safety_Firmware_Version_Stage","ASCII",,,,,"R","Safety regulation certification software version number stage definition bit.
The lower 8 bits of the register store the ASCII code. The default value of the official version is'V'.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.",,,0
,"0461","Safety_Firmware_Version_Major","ASCII",,,,,"R","The major version number of the safety regulation certification software.
The major version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.",,,0
,"0462","Safety_Firmware_Version_Custom","ASCII",,,,,"R","Safety regulation certification software non-standard customized version number.
The version number of the standard software is ""00"". The non-standard customized version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.",,,0
,"0463","Safety_Firmware_Version_Minor","ASCII",,,,,"R","Safety regulation certification software sub version number.
The upper 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.",,,0
,"0464","Safety_Hardware_Version0","ASCII",,,,,"R","Safety regulation certification hardware version number 1st and 2nd bit.
The upper 8 bits of the register store the first bit of the serial number;
The lower 8 bits of the register store the second bit of the serial number.",,,0
,"0465","Safety_Hardware_Version1","ASCII",,,,,"R","Safety regulation certification hardware version number 3rd and 4th bit.
The upper 8 bits of the register store the first bit of the serial number;
The lower 8 bits of the register store the second bit of the serial number.",,,0
,"0466",,,,,,,,,,,0
,"0467",,,,,,,,,,,0
,"0468",,,,,,,,,,,0
,"0469",,,,,,,,,,,0
,"046A",,,,,,,,,,,0
,"046B",,,,,,,,,,,0
,"046C",,,,,,,,,,,0
,"046D",,,,,,,,,,,0
,"046E",,,,,,,,,,,0
,"046F",,,,,,,,,,,0
,"0470","Serial_Number8","ASCII",,,,,"R",,,,0
,"0471","Serial_Number9","ASCII",,,,,"R",,,,0
,"0472","Serial_Number11_Rsvd0","ASCII",,,,,"R",,,,0
,"0473","Serial_Number11_Rsvd1","ASCII",,,,,"R",,,,0
,"0474","Serial_Number12_Rsvd2","ASCII",,,,,"R",,,,0
,"0475","Serial_Number13_Rsvd3","ASCII",,,,,"R",,,,0
,"0476","Serial_Number14_Rsvd4","ASCII",,,,,"R",,,,0
,"0477",,,,,,,,,,,0
,"0478",,,,,,,,,,,0
,"0479",,,,,,,,,,,0
,"047A",,,,,,,,,,,0
,"047B",,,,,,,,,,,0
,"047C",,,,,,,,,,,0
,"047D",,,,,,,,,,,0
,"047E",,,,,,,,,,,0
,"047F",,,,,,,,,,,0
,,,,,,,,,,,,
"on grid output(0x0480-0x04FF)",,,,,,,,,,,,
,"0480","AddressMask_Realtime_GridOutput1","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid.","End user","0000C118","2304613F"
,"0481",,,,,,,,,"End user",,
,"0482",,,,,,,,,"End user",,
,"0483",,,,,,,,,"End user",,
,"0484","Frequency_Grid","U16","0,01","Hz",,,"R","Grid frequency","End user",1,16
,"0485","ActivePower_Output_Total","I16","0,01","kW",,,"R","Total active power. Discharge is positive, charge is negative","End user",1,32
,"0486","ReactivePower_Output_Total","I16","0,01","kW",,,"R","Total reactive power. The inverter end is positive for leading and negative for lagging","End user",,0
,"0487","ApparentPower_Output_Total","I16","0,01","kW",,,"R","Total apparent power. Discharge is positive, charge is negative","End user",,0
,"0488","ActivePower_PCC_Total","I16","0,01","kW",,,"R","Total PCC active power. Selling electricity is positive, buying electricity is negative","End user",1,256
,"0489","ReactivePower_PCC_Total","I16","0,01","kW",,,"R","Total PCC reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"048A","ApparentPower_PCC_Total","I16","0,01","kW",,,"R","Total PCC apparent power. Selling electricity is positive, buying electricity is negative","End user",,0
,"048B","GridOutput_Rsvd1",,,,,,"R","Grid-connected output reserved 1","End user",,0
,"048C","GridOutput_Rsvd2",,,,,,"R","Grid-connected output reserved 2","End user",,0
,"048D","Voltage_Phase_R","U16","0,1","V",,,"R","R phase grid voltage","End user",1,8192
,"048E","Current_Output_R","U16","0,01","A",,,"R","R-phase inverter output current","End user",1,16384
,"048F","ActivePower_Output_R","I16","0,01","kW",,,"R","The R-phase inverter outputs active power. Discharge is positive, charge is negative","End user",,0
,"0490","ReactivePower_Output_R","I16","0,01","kW",,,"R","The R-phase inverter outputs reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"0491","PowerFactor_Output_R","I16","0,001","p.u.",,,"R","R-phase power factor. The inverter end is positive for lead and negative for lag","End user",,0
,"0492","Current_PCC_R","U16","0,01","A",,,"R","R phase PCC current","End user",1,262144
,"0493","ActivePower_PCC_R","I16","0,01","kW",,,"R","R-phase PCC active power","End user",,0
,"0494","ReactivePower_PCC_R","I16","0,01","kW",,,"R","R-phase PCC reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"0495","PowerFactor_PCC_R","I16","0,001","p.u.",,,"R","R-phase PCC power factor. The inverter end is positive for lead and negative for lag","End user",,0
,"0496","R_Rsvd1",,,,,,"R","R phase reserved 1","End user",,0
,"0497","R_Rsvd2",,,,,,"R","R phase reserved 2","End user",,0
,"0498","Voltage_Phase_S","U16","0,1","V",,,"R","S phase grid voltage","End user",1,16777216
,"0499","Current_Output_S","U16","0,01","A",,,"R","S phase inverter output current","End user",1,33554432
,"049A","ActivePower_Output_S","I16","0,01","kW",,,"R","The S-phase inverter outputs active power. Discharge is positive, charge is negative","End user",,0
,"049B","ReactivePower_Output_S","I16","0,01","kW",,,"R","The S-phase inverter outputs reactive power. The inverter end is positive for lead and negative for lag","End user",,0
,"049C","PowerFactor_Output_S","I16","0,001","p.u.",,,"R","S-phase power factor. The inverter end is positive for lead and negative for lag","End user",,0
,"049D","Current_PCC_S","U16","0,01","A",,,"R","S phase PCC current","End user",1,536870912
,"049E","ActivePower_PCC_S","I16","0,01","kW",,,"R","S-phase PCC active power. Discharge is positive, charge is negative","End user",,0
