,"Register address","Register DEC","Field","Type","Accuracy","Unit","Min","Max","Read/Write","Remarks","User",
"General",,,,,,,,,,,,
,"0040","64 ","AddressMask_General1","U64",,,,,"R","The validity of 64 addresses above the address range (including the address of this partition) corresponding to each bit of this partition.
0 means invalid; 1 means valid.","End User",
,"0041","65 ",,,,,,,,,"End User",
,"0042","66 ",,,,,,,,,"End User",
,"0043","67 ",,,,,,,,,"End User",
,"0044","68 ","Modbus_Protocol_Version","BCD16",,,"1,06","99,99","R","Version number of this protocol. The protocol version number corresponds to the version number in the cover of this protocol.
Bits 0-7 represent the minor version number, bits 0-3 represent the low version number, and bits 4-7 represent the high version number. Bits 8-15 represent the major version number, of which bits 8-11 represent the low-order version number, and bits 12-15 represent the high-order version number.
Example: The value 0x1234 indicates that the protocol version number is 12.34","End User",
,"0045","69 ","COMM_MCU_Code","ASCII",,,,,"R","Communication chip code.
Refer to the chip coding specification, not open to modify.
Example: 0x4730 means ""G0""","End User",
,"0046","70 ","CTRL1_MCU_Code","ASCII",,,,,"R","No. 1 control chip code.
Refer to the chip coding specification, not open to Modify.
Example: 0x4730 means ""G0""","End User",
,"0047","71 ","CTRL2_MCU_Code","ASCII",,,,,"R","No. 2 control chip code name.
Refer to the chip coding specification, not open to Modify.
Example: 0x4730 means ""G0""","End User",
,"0048","72 ","MCU_Code_Rsvd1",,,,,,,,,
,"0049","73 ","MCU_Code_Rsvd2",,,,,,,,,
,"004A","74 ","MCU_Code_Rsvd3",,,,,,,,,
,"004B","75 ","MCU_Code_Rsvd4",,,,,,,,,
,"004C","76 ","MCU_Code_Rsvd5",,,,,,,,,
,"004D","77 ","MCU_Code_Rsvd6",,,,,,,,,
,"004E","78 ","MCU_Code_Rsvd7",,,,,,,,,
,"004F","79 ","MCU_Code_Rsvd8",,,,,,,,,
,"0050","80 ","MCU_Code_Rsvd9",,,,,,,,,
,"0051","81 ","MCU_Code_Rsvd10",,,,,,,,,
,"0052","82 ","Protocol_ARM-DSPM",,,,0,"0xFFFF","R","Protocol version number between ARM and DSP
The high 8 bits correspond to the protocol version number of ARM-DSPM, and the low 8 bits correspond to the protocol version number of DSPM-ARM
Example: 0x0102 means the protocol version number of ARM-DSPM is 001, and the protocol version number of DSPM-ARM is 002","End User",
,"0053","83 ","Protocol_Version_Rsvd2",,,,,,,,,
,"0054","84 ","Protocol_Version_Rsvd3",,,,,,,,,
,"0055","85 ","Protocol_Version_Rsvd4",,,,,,,,,
,"0056","86 ","Protocol_Version_Rsvd5",,,,,,,,,
,"0057","87 ","Protocol_Version_Rsvd6",,,,,,,,,
,"0058","88 ","Protocol_Version_Rsvd7",,,,,,,,,
,"0059","89 ","Protocol_Version_Rsvd8",,,,,,,,,
,"005A","90 ","Protocol_Version_Rsvd9",,,,,,,,,
,"005B","91 ","Protocol_Version_Rsvd10",,,,,,,,,
,"005C","92 ","Protocol_Version_Rsvd11",,,,,,,,,
,"005D","93 ","Protocol_Version_Rsvd12",,,,,,,,,
,"005E","94 ","Protocol_Version_Rsvd13",,,,,,,,,
,"005F","95 ","Protocol_Version_Rsvd14",,,,,,,,,
,"0060","96 ","Protocol_Version_Rsvd15",,,,,,,,,
,"0061","97 ","Protocol_Version_Rsvd16",,,,,,,,,
,"0062","98 ","Protocol_Version_Rsvd17",,,,,,,,,
,"0063","99 ","Protocol_Version_Rsvd18",,,,,,,,,
,"0064","100 ","Protocol_Version_Rsvd19",,,,,,,,,
,"0065","101 ","Protocol_Version_Rsvd20",,,,,,,,,
,"0066","102 ",,,,,,,,,,
,"0067","103 ",,,,,,,,,,
,"0068","104 ",,,,,,,,,,
,"0069","105 ",,,,,,,,,,
,"006A","106 ",,,,,,,,,,
,"006B","107 ",,,,,,,,,,
,"006C","108 ",,,,,,,,,,
,"006D","109 ",,,,,,,,,,
,"006E","110 ",,,,,,,,,,
,"006F","111 ",,,,,,,,,,
,"0070","112 ",,,,,,,,,,
,"0071","113 ",,,,,,,,,,
,"0072","114 ",,,,,,,,,,
,"0073","115 ",,,,,,,,,,
,"0074","116 ",,,,,,,,,,
,"0075","117 ",,,,,,,,,,
,"0076","118 ",,,,,,,,,,
,"0077","119 ",,,,,,,,,,
,"0078","120 ",,,,,,,,,,
,"0079","121 ",,,,,,,,,,
,"007A","122 ",,,,,,,,,,
,"007B","123 ",,,,,,,,,,
,"007C","124 ",,,,,,,,,,
,"007D","125 ",,,,,,,,,,
,"007E","126 ","Customer ID_0",,,,,,"RW","Distinguish the ID used by different customers, refer to the customer coding specification
Customer ID_0: Used to mark the customer ID, such as the default SofarSolar is 0x0000.
Example: Trina 0x0001, Skyworth 0x0002, etc.","End User",
,"007F","127 ","Customer ID_1",,,,,,"RW","Customer ID_1: Alternate expansion","End User",
,,"0 ",,,,,,,,,,
,,,,,,,,,,,,
" Real time data (0x0400-0x07FF)",,,,,,,,,,,,
"System info (0x0400-0x047F)",,,,,,,,,,,,
,"0400","1024 ","AddressMask_Realtime_SysInfo1","U64",,,,,"R","The validity of 64 addresses above the address range (including the address of this partition) corresponding to each bit of this partition.
0 means invalid; 1 means valid.","End User",
,"0401",,,,,,,,,,"End User",
,"0402",,,,,,,,,,"End User",
,"0403",,,,,,,,,,"End User",
,"0404","1028 ","SysState","U16",,,,,"R","Operating status
0: waiting state
1: Detection status
2: Grid-connected status
3: Emergency power supply status
4: Recoverable fault state
5: Permanent fault status
6: Upgrade status
7: Self-charging status
8：SVG status
9：PID  status","End User",
,"0405","1029 ","Fault1","U16",,,,,"R","Fault information table 1","End User",
,"0406","1030 ","Fault2","U16",,,,,"R","Fault information table 2","End User",
,"0407","1031 ","Fault3","U16",,,,,"R","Fault information table 3","End User",
,"0408","1032 ","Fault4","U16",,,,,"R","Fault information table 4","End User",
,"0409","1033 ","Fault5","U16",,,,,"R","Fault information table 5","End User",
,"040A","1034 ","Fault6","U16",,,,,"R","Fault information table 6","End User",
,"040B","1035 ","Fault7","U16",,,,,"R","Fault information table 7","End User",
,"040C","1036 ","Fault8","U16",,,,,"R","Fault information table 8","End User",
,"040D","1037 ","Fault9","U16",,,,,"R","Fault information table 9","End User",
,"040E","1038 ","Fault10","U16",,,,,"R","Fault information table 10","End User",
,"040F","1039 ","Fault11","U16",,,,,"R","Fault information table 11","End User",
,"0410","1040 ","Fault12","U16",,,,,"R","Fault information table 12","End User",
,"0411","1041 ","Fault13","U16",,,,,"R","Fault information table 13","End User",
,"0412","1042 ","Fault14","U16",,,,,"R","Fault information table 14","End User",
,"0413","1043 ","Fault15","U16",,,,,"R","Fault information table 15","End User",
,"0414","1044 ","Fault16","U16",,,,,"R","Fault information table 16","End User",
,"0415","1045 ","Fault17","U16",,,,,"R","Fault information table 17","End User",
,"0416","1046 ","Fault18","U16",,,,,"R","Fault information table 18","End User",
,"0417","1047 ","Countdown","U16",1,"seconds",,,"R","Power-on countdown","End User",
,"0418","1048 ","Temperature_Env1","I16",1,"℃",,,"R","Ambient temperature 1","End User",
,"0419","1049 ","Temperature_Env2","I16",1,"℃",,,"R","Ambient temperature 2","End User",
,"041A","1050 ","Temperature_HeatSink1","I16",1,"℃",,,"R","Radiator temperature 1","End User",
,"041B","1051 ","Temperature_HeatSink2","I16",1,"℃",,,"R","Radiator temperature 2","End User",
,"041C","1052 ","Temperature_HeatSink3","I16",1,"℃",,,"R","Radiator temperature 3","End User",
,"041D","1053 ","Temperature_HeatSink4","I16",1,"℃",,,"R","Radiator temperature 4","End User",
,"041E","1054 ","Temperature_HeatSink5","I16",1,"℃",,,"R","Radiator temperature 5","End User",
,"041F","1055 ","Temperature_HeatSink6","I16",1,"℃",,,"R","Radiator temperature 6","End User",
,"0420","1056 ","Temperature_Inv1","I16",1,"℃",,,"R","Module temperature 1","End User",
,"0421","1057 ","Temperature_Inv2","I16",1,"℃",,,"R","Module temperature 2","End User",
,"0422","1058 ","Temperature_Inv3","I16",1,"℃",,,"R","Module temperature 3","End User",
,"0423","1059 ","Temp_Rsvd1","I16",1,"℃",,,"R","Reserve temperature 1","End User",
,"0424","1060 ","Temp_Rsvd2","I16",1,"℃",,,"R","Reserve temperature 2","End User",
,"0425","1061 ","Temp_Rsvd3","I16",1,"℃",,,"R","Reserve temperature 3","End User",
,"0426","1062 ","GenerationTime_Today","U16",1,"Minute",,,"R","Day of power generation time","End User",
,"0427","1063 ","GenerationTime_Total","U32",1,"Minute",,,"R","Total power generation time","End User",
,"0428",,,,,,,,,,,
,"0429","1065 ","ServiceTime_Total","U32",1,"Minute",,,"R","Total running time","End User",
,"042A",,,,,,,,,,,
,"042B","1067 ","InsulationResistance","U16",1,"kΩ",,,"R","Insulation resistance","End User",
,"042C","1068 ","SysTime_Year","U16",,,,,"R","System time-year","End User",
,"042D","1069 ","SysTime_Month","U16",,,,,"R","System time-month","End User",
,"042E","1070 ","SysTime_Date","U16",,,,,"R","System Time-Daily Minutes","End User",
,"042F","1071 ","SysTime_Hour","U16",,,,,"R","System time-hour","End User",
,"0430","1072 ","SysTime_Minute","U16",,,,,"R","System time-minutes","End User",
,"0431","1073 ","SysTime_Second","U16",,,,,"R","System time-second","End User",
,"0432","1074 ","Fault19","U16",,,,,"R","Fault message table 19","End User",
,"0433","1075 ","Fault20","U16",,,,,"R","Fault information table 20","End User",
,"0434","1076 ","Fault21","U16",,,,,"R","Fault information table 21","End User",
,"0435","1077 ","Fault22","U16",,,,,"R","Fault information table 22","End User",
,"0436","1078 ","Fault23","U16",,,,,"R","Fault information table 23","End User",
,"0437","1079 ","Fault24","U16",,,,,"R","Fault message table 24","End User",
,"0438","1080 ","Fault25","U16",,,,,"R","Fault information table 25","End User",
,"0439","1081 ","Fault26","U16",,,,,"R","Fault message table 26","End User",
,"043A","1082 ","Fault27","U16",,,,,"R","Fault information table 27","End User",
,"043B",,,,,,,,,,,
,"043C",,,,,,,,,,,
,"043D",,,,,,,,,,,
,"043E",,,,,,,,,,,
,"043F",,,,,,,,,,,
,"0440","1088 ","AddressMask_Realtime_SysInfo2","U64",,,,,"R","Each Character corresponds to the validity of 64 addresses in this field, . Bit4 represents the address where the highest bit address(Plus 1) of this field located                                                             0 means invalid; 1 means valid.","End User",
,"0441",,,,,,,,,,"End User",
,"0442",,,,,,,,,,"End User",
,"0443",,,,,,,,,,"End User",
,"0444","1092 ","Production_Code","U16",,,,,,"Reversed",,
,"0445","1093 ","Serial_Number0","ASCII",,,,,"R","The 1st and 2nd digits of the serial number. The High 8-bits store the 1st digit of Serial Number, The low 8-bits Store the 2nd digit of Serial number","End User",
,"0446","1094 ","Serial_Number1","ASCII",,,,,"R","The 3rd and 4th digits of the serial number. The High 8-bits store the 3rd digit of Serial Number, The low 8-bits Store the 4th digit of Serial number","End User",
,"0447","1095 ","Serial_Number2","ASCII",,,,,"R","The 5th and 6th digits of the serial number. The High 8-bits store the5th digit of Serial Number, The low 8-bit Store the 6th digit of Serial number","End User",
,"0448","1096 ","Serial_Number3","ASCII",,,,,"R","The 7th and 8th digits of the serial number. The High 8-bits store the 7th digit of Serial Number, The low 8-bits Store the 8th digit of Serial number","End User",
,"0449","1097 ","Serial_Number4","ASCII",,,,,"R","The 9th and 10th digits of the serial number. The High 8-bits store the 9th digit of Serial Number, The low 8-bits Store the 10th digit of Serial number","End User",
,"044A","1098 ","Serial_Number5","ASCII",,,,,"R","The 11th and 12th digits of the serial number. The High 8-bits store the 11th digit of Serial Number, The low 8-bits Store the 12th digit of Serial number","End User",
,"044B","1099 ","Serial_Number6","ASCII",,,,,"R","The 13th and 14th digits of the serial number. The High 8-bits store the 13th digit of Serial Number, The low 8-bits Store the 14th digit of Serial number","End User",
,"044C","1100 ","Serial_Number7","ASCII",,,,,"R","The 15th and 16th digits of the serial number. The High 8-bits store the 15th digit of Serial Number, The low 8-bits Store the 16th digit of Serial number","End User",
,"044D","1101 ","Hardware_Version0","ASCII",,,,,"R","The 1st and 2nd digits of the Hardware Version. The High 8-bits store the 1st digit of Serial Number, The low 8-bits Store the 2nd digit of Serial number","End User",
,"044E","1102 ","Hardware_Version1","ASCII",,,,,"R","The 3rd and 4th digits of the Hardware Version. The High 8-bits store the 3rd digit of Serial Number, The low 8-bits Store the 4th digit of Serial number","End User",
,"044F","1103 ","Software_Version_Stage_COM","ASCII",,,,,"R","Bits for communication chip's software version number. The lower 8 bits of the register store the ASCII code. The default value of the official version is'V'.","End User",
,"0450","1104 ","Software_Version_Major_COM","ASCII",,,,,"R","Software version number  for Communication chip. For one system, the software version number  need to be consistent for all chips. The high 8 bits of the register store the higher digits. The low 8 bits of the register store the lower digits.","End User",
,"0451","1105 ","Software_Version_Custom_COM","ASCII",,,,,"R","Non-standard customization software version number for communication chip. The standard software version number should be""00"",For one system, the Non-standard customization  software version number  need to be consistent for all chips, otherwise it will consider as ""Fault"".  The high 8 bits of the register store the higher digits. The low 8 bits of the register store the lower digits.","End User",
,"0452","1106 ","Software_Version_Minor_COM","ASCII",,,,,"R","Subversion software number for communication chip. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.","End User",
,"0453","1107 ","Software_Version_Stage_Master","ASCII",,,,,"R","Bytes for main control chip's software version number, The lower 8 bits of the register store the ASCII code. The default value of the official version start with 'V'. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.","End User",
,"0454","1108 ","Software_Version_Major_Master","ASCII",,,,,"R","Software version number  for main control chip. For one system, the software version number  need to be consistent for all chips. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.","End User",
,"0455","1109 ","Software_Version_Custom_Master","ASCII",,,,,"R","Non-standard customization software version number for main control chip. The standard software version should be""00"",For one system, the Non-standard customization  software version number  need to be consistent for all chips, otherwise it will consider as ""Fault"".  The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.","End User",
,"0456","1110 ","Software_Version_Minor_Master","ASCII",,,,,"R","software subversion number for main control chip. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.","End User",
,"0457","1111 ","Software_Version_Stage_Slave","ASCII",,,,,"R","Bits for Secondary control chip's software version number, The lower 8 bits of the register store the ASCII code. The default value of the official version is'V'.The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.","End User",
,"0458","1112 ","Software_Version_Major_Slave","ASCII",,,,,"R","Software version number  for Secondary control chip. For one system, the software version number  need to be consistent for all chips. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.","End User",
,"0459","1113 ","Software_Version_Custom_Slave","ASCII",,,,,"R","Non-standard customization software version number for secondary control chip. The standard software version should be""00"",For one system, the Non-standard customization  software version number  need to be consistent for all chips, otherwise it will consider as ""Fault"".  The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.","End User",
,"045A","1114 ","Software_Version_Minor_Slave","ASCII",,,,,"R","software subversion number for secondary control chip. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.","End User",
,"045B","1115 ","Safety_Version_Major","U16",,,,,"R","main version number for Safety regulation library","End User",
,"045C","1116 ","Safety_version_Minor","U16",,,,,"R","Sub-version number for Safety regulation library","End User",
,"045D","1117 ","Boot_Version_COM","U16",,,,,"R",,"End User",
,"045E","1118 ","Boot_Version_Master","U16",,,,,"R",,"End User",
,"045F","1119 ","Boot_Version_Slave","U16",,,,,"R",,"End User",
,"0460","1120 ","Safety_Firmware_Version_Stage","ASCII",,,,,"R","Safety certification software version number stage definition bit.
The lower 8 bits of the register store the ASCII code. The default value of the official version is'V'.
The high 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.","End User",
,"0461","1121 ","Safety_Firmware_Version_Major","ASCII",,,,,"R","The major version number of the safety certification software.
The major version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The high 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.","End User",
,"0462","1122 ","Safety_Firmware_Version_Custom","ASCII",,,,,"R","Safety certification software non-standard customized version number.
The version number of the standard software is ""00"". The non-standard customized version numbers of all chips in the same system must be the same, otherwise it will be regarded as a system failure.
The high 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.","End User",
,"0463","1123 ","Safety_Firmware_Version_Minor","ASCII",,,,,"R","Safety certification software version number.
The high 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.","End User",
,"0464","1124 ","Safety_Hardware_Version0","ASCII",,,,,"R","Safety certification hardware version number 1st and 2nd.
The upper 8 bits of the register store the first bit of the serial number;
The lower 8 bits of the register store the second bit of the serial number.","End User",
,"0465","1125 ","Safety_Hardware_Version1","ASCII",,,,,"R","The 3rd and 4th digits of the hardware version number of safety certification.
The upper 8 bits of the register store the third bit of the serial number;
The lower 8 bits of the register store the 4th bit of the serial number.","End User",
,"0466","1126 ","Afci_Ver_Firmware","ASCII",,,,,"R","afci firmware version number 'V'
The high 8 bits are reserved.
The lower 8 bits hold the version number.",,
,"0467","1127 ","Afci_Ver_Sft","ASCII",,,,,"R","afci software version
High 8 bits hold bit 1.
Low 8 bits hold bit 2.",,
,"0468","1128 ","Afci_Ver_Hard","ASCII",,,,,"R","afci hardware version
High 8 bits hold bit 1.
The lower 8 bits hold bit 2.",,
,"0469","1129 ","Afci_Srs_Hard","ASCII",,,,,"R","afci hardware serial number
High 8 bits hold bit 1.
Low 8 bits hold bit 2.",,
,"046A","1130 ","Afci_Ver_Com","ASCII",,,,,"R","afci communication version
High 8 bits hold bit 1.
Low 8 bits hold bit 2.",,
,"046B",,,,,,,,,,,
,"046C",,,,,,,,,,,
,"046D",,,,,,,,,,,
,"046E",,,,,,,,,,,
,"046F",,,,,,,,,,,
,"0470","1136 ","Serial_Number8","ASCII",,,,,"R","The 17th and 18th digits of the serial number.
The upper 8 bits of the register store the 17th bit of the serial number;
The lower 8 bits of the register store the 18th bit of the serial number.","End User",
,"0471","1137 ","Serial_Number9","ASCII",,,,,"R","The 19th and 20th digits of the serial number.
The high 8 bits of the register store the 19th bit of the serial number;
The lower 8 bits of the register store the 20th bit of the serial number.","End User",
,"0472","1138 ","Serial_Number11_Rsvd0","ASCII",,,,,"R",,,
,"0473","1139 ","Serial_Number11_Rsvd1","ASCII",,,,,"R",,,
,"0474","1140 ","Serial_Number12_Rsvd2","ASCII",,,,,"R",,,
,"0475","1141 ","Serial_Number13_Rsvd3","ASCII",,,,,"R",,,
,"0476","1142 ","Serial_Number14_Rsvd4","ASCII",,,,,"R",,,
,"0477","1143 ","State1","U16",,,,,"R","状态信息表1","End User",
,"0478","1144 ","State2","U16",,,,,"R","状态信息表2","End User",
,"0479","1145 ","State3","U16",,,,,"R","状态信息表3","End User",
,"047A","1146 ","State4","U16",,,,,"R","状态信息表4","End User",
,"047B","1147 ","State5","U16",,,,,"R","状态信息表5","End User",
,"047C","1148 ","State6","U16",,,,,"R","状态信息表6","End User",
,"047D","1149 ","State7","U16",,,,,"R","状态信息表7","End User",
,"047E","1150 ","State8","U16",,,,,"R","状态信息表8","End User",
,"047F","1151 ","State9","U16",,,,,"R","状态信息表9","End User",
,,,,,,,,,,,,
"On grid output (0x0480-0x04FF)",,,,,,,,,,,,
,"0480","1152 ","AddressMask_Realtime_GridOutput1","U64",,,,,"R","Each bit of this field corresponds to the validity of 64 addresses above the address of this field (including the address of this field). Bit4 represents the address where the highest bit address of this field is plus 1.
0 means invalid; 1 means valid.","End User",
,"0481",,,,,,,,,,,
,"0482",,,,,,,,,,,
,"0483",,,,,,,,,,,
